thiols  	fruits	citrus fruits	citrus fruits	citrus fruits
tropical fruit	fruits	fresh fruits	fresh fruits	fresh fruits
walnuts  	fruits	dried fruits	dried fruits	nuts
white fruits 	fruits	fresh fruits	fresh fruits	pear
white fruits 	fruits	fresh fruits	fresh fruits	fresh fruits
yellow fruits	fruits	dried fruits	dried fruits	prune
yellow fruits	fruits	fresh fruits	fresh fruits	apricot
zest orange 	fruits	citrus fruits	citrus fruits	orange
chalk  	mineral	mineral	mineral	chalk
iodine  	mineral	mineral	mineral	iodine
pencil	mineral	mineral	mineral	pencil
mineral 	mineral 	mineral 	mineral 	mineral 
anise  	spicy	spices dessert	spices dessert	anise
berries  	spicy	berries	berries	berries
bitter almonds 	spicy	spices dessert	spices dessert	spices dessert
caraway  	spicy	oriental	oriental	cumin
cardamom  	spicy	oriental	oriental	cardamom
cinnamon  	spicy	spices dessert	spices dessert	cinnamon
clove  	spicy	spices dessert	spices dessert	clove
cooked pepper	spicy	berries	berries	pepper
curry  	spicy	oriental	oriental	curry
ginger  	spicy	oriental	oriental	ginger
green pepper 	spicy	berries	berries	green pepper
licorice  	spicy	spices dessert	spices dessert	licorice
nutmeg	spicy	oriental	oriental	nutmeg
pepper  	spicy	berries	berries	pepper
ripe pepper 	spicy	berries	berries	pepper
spices  	spicy	spicy	spicy	spicy
vanilla  	spicy	spices dessert	spices dessert	vanilla
mushroom  	undergrowth	mushroom	mushroom	mushroom
damson  	undergrowth	moist soil	moist soil	damp earth
earthy  	undergrowth	moist soil	moist soil	damp earth
fungus  	undergrowth	mushroom	mushroom	mushroom
humus  	undergrowth	moist soil	moist soil	humus
moldy  	undergrowth	mushroom	mushroom	moldy
musty  	undergrowth	mushroom	mushroom	moldy
undergrowth  	undergrowth	undergrowth	undergrowth	undergrowth
wet peel 	undergrowth	moist soil	moist soil	rotten
asparagus  	vegetal	green vegetables	green vegetables	asparagus
beans  	vegetal	green vegetables	green vegetables	green vegetables
beets  	vegetal	green vegetables	green vegetables	green vegetables
bell pepper 	vegetal	fresh vegetal	fresh vegetal	bell pepper
black olive 	vegetal	green vegetables	green vegetables	green vegetables
celery	vegetal	green vegetables	green vegetables	green vegetables
chard 	vegetal	green vegetables	green vegetables	green vegetables
cooked onions 	vegetal	vegetal	vegetal	vegetal
cooked spinach 	vegetal	green vegetables	green vegetables	green vegetables
cooked vegetal 	vegetal	vegetal	vegetal	vegetal
cut grass 	vegetal	fresh vegetal	fresh vegetal	cut grass
dry grass 	vegetal	dry vegetal	dry  vegetal	dry grass
dry hay 	vegetal	dry vegetal	dry vegetal	hay
dry laurel 	vegetal	dry vegetal	dry vegetal	dry vegetal
dry vegetal 	vegetal	dry vegetal	dry vegetal	dry vegetal
eucalyptus  	vegetal	infusion plants	infusion plants	eucalyptus
fennel  	vegetal	green vegetables	green vegetables	fennel
fresh grass 	vegetal	fresh vegetal	fresh vegetal	grass
fresh vegetal 	vegetal	fresh vegetal	fresh vegetal	fresh vegetal
garlic  	vegetal	fresh vegetal	fresh vegetal	fresh vegetal
garrigue  	vegetal	vegetal	vegetal	vegetal
grass  	vegetal	fresh vegetal	fresh vegetal	grass
green  	vegetal	fresh vegetal	fresh vegetal	grass
green bean 	vegetal	green vegetables	green vegetables	green vegetables
green pepper	vegetal	green vegetables	green vegetables	pepper
green pepper	vegetal	green vegetables	green vegetables	green vegetables
green tea 	vegetal	green vegetables	green vegetables	green vegetables
green vegetal	vegetal	fresh Vegetal	fresh Vegetal	herbaceous
greenness  	vegetal	fresh vegetal	fresh vegetal	grass
herbaceous  	vegetal	fresh vegetal	fresh vegetal	herbaceous
lawn  	vegetal	fresh vegetal	fresh vegetal	grass
lettuce	vegetal	green vegetables	green vegetables	green vegetables
menthol  	vegetal	infusion plants	infusion plants	spearmint
oil  	vegetal	green vegetables	green vegetables	green vegetables
paper  	vegetal	vegetal	vegetal	vegetal
peas	vegetal	green vegetables	green vegetables	green vegetables
pyrazine  	vegetal	green vegetables	green vegetables	pepper
ratatouille  	vegetal	green vegetables	green vegetables	green vegetables
red pepper 	vegetal	green vegetables	green vegetables	pepper
red pepper 	vegetal	green vegetables	green vegetables	green vegetables
salad  	vegetal	green vegetables	green vegetables	green vegetables
tea  	vegetal	dry vegetal	dry vegetal	tea
tomato  	vegetal	green vegetables	green vegetables	green vegetables
tomato leaf 	vegetal	green vegetables	green vegetables	green vegetables
vegetal  	vegetal	vegetal	vegetal	vegetal
wet grass 	vegetal	fresh vegetal	fresh vegetal	wet grass
hay  	vegtal	dry vegetal	dry vegetal	hay
cedar  	woody	woody	woody	cedar
dry wood 	woody	woody	woody	woody
fresh wood 	woody	woody	woody	woody
old wood 	woody	woody	woody	woody
wet wood 	woody	woody	woody	woody
woody	woody	woody	woody	woody
acidulous candies 				
butter  				
cake  				
cane sugar				
confit pepper 				
dusty  				
egg  				
moss  				
oil (pétrolé) 				
semolina  				
